car_park_id,address,x_coordinate,y_coordinate,parking_system_type,short_term_parking,whole_day_parking,0700to1900_parking,0700to2230_parking,free_parking,night_parking,car_park_basement,0700to1700_motorcars_rate,1700to0700_motorcars_rate,0700to2230_motorcycle_per_lot,22300to0700_motorcycle_per_lot
P71L,BLK 684A & 684B EDGEDALE PLAINS,37190.4782,42765.7878,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P73L,BLK 229A & 229B SUMANG LANE,34524.5777,42733.2272,COUPON PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P76L,BLK 327A SUMANG WALK,35336.0812,43792.9611,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P77L,BLK 659 PUNGGOL EAST,37568.3243,42442.9721,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P8,BLK 126 EDGEDALE PLAINS,36635.3349,41792.3558,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
P88L,BLK 430 NORTHSHORE DRIVE,36630.6431,44360.7121,ELECTRONIC PARKING,NO,NO,NO,NO,NO,NO,NO,0.6,0.6,0.65,0.65
P9,BLK 128 PUNGGOL FIELD WALK,36816.0197,41648.1136,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q14,BLK 49 STIRLING ROAD,24533.22,31110.95,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
Q15,BLK 41/48 STIRLING ROAD,24487.19,31188.56,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q16,BLK 45 AND 50 STIRLING ROAD,24705.57,31033.88,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q17,BLK 52 STIRLING ROAD,24717.58,30953.45,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q19,BLK 151 MEI LING STREET,24654.5215,30786.998,ELECTRONIC PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q2A,BLK 155-164 STIRLING ROAD,24780.1309,30449.3691,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
Q30,MARGARET DRIVE,25268.69,30911.89,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q4,BLK 168A QUEENSWAY,24726.8911,30124.9522,COUPON PARKING,NO,NO,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
Q41,BLK 80 STRATHMORE AVENUE,25318.4336,30747.652,ELECTRONIC PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
Q48,BLK 150A MEI CHIN ROAD,24682.94,30859.67,COUPON PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q49,#NAME?,24600.43,30852.65,COUPON PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q5A,BLKS 166-171 STIRLING ROAD,24644.4805,30393.2754,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
Q5S,BLK 165-166 STIRLING ROAD,24530.9034,30353.3466,COUPON PARKING,NO,NO,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q51,BLK 39 TANGLIN HALT ROAD,24187.6,31144.34,COUPON PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q52,BLK 33-34 TANGLIN HALT ROAD,24170.85,31017.51,COUPON PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q55,BLK 61/66 COMMONWEALTH DRIVE,23894.27,31228,COUPON PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
Q58,BLK 46-3 COMMONWEALTH DRIVE,24031.02,31382.8,COUPON PARKING,YES,NO,NO,YES,NO,NO,NO,0.6,0.6,0.65,0.65
Q59,BLK 47/49 TANGLIN HALT ROAD,24023.14,31476.19,COUPON PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
Q65,BLK 115A COMMONWEALTH DRIVE,24153.2643,31983.7356,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q65A,BLK 96-111 AND 115 COMMONWEALTH CRESCENT,24418.636,32156.675,COUPON PARKING,YES,NO,NO,YES,SUN & PH FR 7AM-10.30PM,NO,NO,0.6,0.6,0.65,0.65
Q66,BLK 117 COMMONWEALTH DRIVE,24236.01,32114.32,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q67,BLK 116-118 COMMONWEALTH CRESCENT,24352.42,32166.07,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q68,BLK 110 COMMONWEALTH CRESCENT,24181.18,32133.41,ELECTRONIC PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q70,BLK 99/102 COMMONWEALTH CRESCENT,24353.0804,32185.228,ELECTRONIC PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q72,BLK 96 COMMONWEALTH CRESCENT,24391.78,32090.9,COUPON PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q73,BLK 91/92 COMMONWEALTH DRIVE,24335.5387,32064.3962,ELECTRONIC PARKING,YES,NO,YES,NO,NO,NO,NO,0.6,0.6,0.65,0.65
Q75M,BLK 10A HOLLAND DRIVE,23590.6968,32292.0387,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q77M,BLK 18 HOLLAND DRIVE,23403.3645,32654.8683,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
Q8,BLK 19/23A/23B QUEENS CLOSE,24244.0036,30732.3137,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
Q80,BLK 45/46/47 HOLLAND DRIVE,23479.7213,32316.8703,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
Q81,BLK 43 HOLLAND DRIVE,23531.2041,32206.3235,ELECTRONIC PARKING,YES,YES,NO,NO,NO,YES,NO,0.6,0.6,0.65,0.65
Q84,BLK 2/4/6/31/32 HOLLAND CLOSE,23921.707,32122.75,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q85,NORTH BUONA VISTA ROAD,23406.71,32283.49,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q86,BLK 148A MEI LING STREET,24722.8381,30771.7904,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q87,BLK 5A HOLLAND CLOSE,23873.3239,32354.7312,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q88,BLK 19A QUEEN'S CLOSE,24354.2159,30597.8694,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
Q89,BLK 7B COMMONWEALTH AVENUE,23741.0378,32063.6114,ELECTRONIC PARKING,YES,YES,NO,NO,SUN & PH FR 7AM-10.30PM,YES,NO,0.6,0.6,0.65,0.65
